date_started,date_ended,disaster_type,incident_type,incident_title,days_lasted,county,state,state_abbr,division_name,region_name,fip_code
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Howard County,Indiana,IN,East North Central,Midwest,IN-067
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Howard County,Indiana,IN,East North Central,Midwest,IN-067
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Grant County,Indiana,IN,East North Central,Midwest,IN-053
1974-04-04,1974-04-04,DR,Tornado,Tornadoes,0.0,Grant County,Indiana,IN,East North Central,Midwest,IN-053
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Grant County,Indiana,IN,East North Central,Midwest,IN-053
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Wells County,Indiana,IN,East North Central,Midwest,IN-179
1974-04-04,1974-04-04,DR,Tornado,Tornadoes,0.0,Wells County,Indiana,IN,East North Central,Midwest,IN-179
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Wells County,Indiana,IN,East North Central,Midwest,IN-179
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Clinton County,Indiana,IN,East North Central,Midwest,IN-023
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Clinton County,Indiana,IN,East North Central,Midwest,IN-023
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Starke County,Indiana,IN,East North Central,Midwest,IN-149
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Starke County,Indiana,IN,East North Central,Midwest,IN-149
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Montgomery County,Indiana,IN,East North Central,Midwest,IN-107
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Montgomery County,Indiana,IN,East North Central,Midwest,IN-107
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Boone County,Indiana,IN,East North Central,Midwest,IN-011
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Boone County,Indiana,IN,East North Central,Midwest,IN-011
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Hamilton County,Indiana,IN,East North Central,Midwest,IN-057
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Hamilton County,Indiana,IN,East North Central,Midwest,IN-057
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,LaGrange County,Indiana,IN,East North Central,Midwest,IN-087
1974-04-04,1974-04-04,DR,Tornado,Tornadoes,0.0,LaGrange County,Indiana,IN,East North Central,Midwest,IN-087
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,LaGrange County,Indiana,IN,East North Central,Midwest,IN-087
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Cass County,Indiana,IN,East North Central,Midwest,IN-017
1974-04-04,1974-04-04,DR,Tornado,Tornadoes,0.0,Cass County,Indiana,IN,East North Central,Midwest,IN-017
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Cass County,Indiana,IN,East North Central,Midwest,IN-017
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,St. Joseph County,Indiana,IN,East North Central,Midwest,IN-141
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,St. Joseph County,Indiana,IN,East North Central,Midwest,IN-141
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Blackford County,Indiana,IN,East North Central,Midwest,IN-009
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Blackford County,Indiana,IN,East North Central,Midwest,IN-009
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Marshall County,Indiana,IN,East North Central,Midwest,IN-099
1974-04-04,1974-04-04,DR,Tornado,Tornadoes,0.0,Marshall County,Indiana,IN,East North Central,Midwest,IN-099
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Marshall County,Indiana,IN,East North Central,Midwest,IN-099
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,LaPorte County,Indiana,IN,East North Central,Midwest,IN-091
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,LaPorte County,Indiana,IN,East North Central,Midwest,IN-091
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Adams County,Indiana,IN,East North Central,Midwest,IN-001
1974-04-04,1974-04-04,DR,Tornado,Tornadoes,0.0,Adams County,Indiana,IN,East North Central,Midwest,IN-001
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Adams County,Indiana,IN,East North Central,Midwest,IN-001
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Elkhart County,Indiana,IN,East North Central,Midwest,IN-039
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Elkhart County,Indiana,IN,East North Central,Midwest,IN-039
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Steuben County,Indiana,IN,East North Central,Midwest,IN-151
